id,dto,categoría,nivel,texto,A,B,C,D,correct_letter,why,activo
155,Recepción,Errores Comunes,Avanzado,"¿Qué debe evitarse en reservas procedentes de Smartbox, El Corte Inglés, GDS u otros canales externos?",Confirmar la reserva sin revisar el canal de origen,Modificar manualmente el número de localizador antes de la noche anterior a la llegada,Anotar cambios comunicados por el cliente en comentarios internos,Revisar reservas con mensaje “No se encontró la reserva”,B,"No debe modificarse el número de localizador hasta la noche anterior a la llegada. Si el cliente realiza cambios (como fechas o tipo de bono), el sistema necesita reconocer automáticamente las actualizaciones o anulaciones. Alterar el localizador antes de ese momento rompe el enlace con el canal y puede provocar cancelaciones erróneas.",1
156,Recepción,Errores Comunes,Avanzado,¿Qué debe hacer el turno de noche ante una reserva con entrada prevista para ese día que no se ha presentado?,"Comprobar condiciones en Channel o web, cargar el no show según política de tarifa y, si aplica, informar en la extranet de la OTA",Cancelar la reserva directamente en el PMS sin revisar condiciones ni cargar penalización,Esperar al turno de mañana para decidir si se cobra o no,Marcar la reserva como salida sin realizar ningún cargo ni dejar constancia,A,"El no show debe gestionarse antes del cierre. Se revisan las condiciones en Channel o web (release, garantía, política), se carga el importe según tarifa contratada y, si procede, se informa en la extranet de la OTA con motivo y soporte.",1
157,Recepción,Errores Comunes,Avanzado,"En reservas corporativas con pago directo, ¿cuándo procede solicitar prepago?",Si la estancia es prolongada y no hay bono enviado,Si la llegada es en fin de semana y no hay tarjeta de garantía.,"Si la empresa no tiene crédito concedido o presenta antecedentes de impago, y la reserva no está garantizada","Nunca, ya que las tarifas corporativas se consideran garantizadas por defecto",C,"Se realizará el cobro si la empresa no tiene crédito concedido o presenta antecedentes de impago, siempre que la reserva no esté garantizada por acuerdo corporativo vigente o condiciones pactadas en el canal, ya sea en tarifas corporativas o negociadas directamente por el hotel",1
158,Recepción,Errores Comunes,Avanzado,¿Qué debe hacerse si una tarifa EBI flexible requiere tarjeta como garantía y el pago se realiza en el hotel?,No es necesario marcar release si hay tarjeta registrada,"Se debe marcar manualmente el release de 7 días, salvo que provenga de canal con crédito o bono regalo",El sistema marca automáticamente el release según el canal,Solo se marca release si la reserva es para fin de semana o temporada alta,B,"Cuando la tarifa EBI requiere tarjeta como garantía y el pago es en hotel, debe marcarse manualmente el release de 7 días. Esto aplica a canales como Web, Booking o Expedia, salvo que la reserva provenga de canal con crédito o bono regalo.",1
159,Recepción,Errores Comunes,Avanzado,¿Cuál es el procedimiento al detectar una reserva duplicada en PMS?,Permitir solo la más reciente,Bloquear ambas y contactar al canal para validar,Eliminar una manualmente,Cobrar ambas,B,Duplicados requieren validación del canal antes de ajustar para no perder ingresos o reservas reales.,1
160,Recepción,Errores Comunes,Avanzado,¿Qué implica no marcar correctamente 'SP' en reservas Keytel con Spa?,No afecta a liquidación,Se bloquea la reserva,La comisión se calcula mal y se desfasa liquidación y facturación,El cliente pierde acceso al Spa,C,El código SP garantiza cálculo correcto de comisiones relacionadas con servicios Spa.,1
161,Recepción,Errores Comunes,Avanzado,"Si una agencia solicita cambio de nombre en reserva garantizada, ¿qué se debe hacer?",Esperar al check-in,Cancelar y crear nueva,Solicitar correo oficial de la agencia antes de modificar,Cambiar directamente,C,Cambio de titular requiere solicitud formal para evitar fraude y carga incorrecta.,1
162,Recepción,Errores Comunes,Avanzado,¿Qué riesgo existe si una habitación triple se asigna como doble por error?,El cliente recibe upgrade automático,Bloquea inventario de triples y altera disponibilidad,El sistema la corrige solo,No hay efecto operativo,B,Asignar erróneamente reduce venta disponible de triples y altera planificación.,1
163,Recepción,Errores Comunes,Avanzado,¿Qué debe verificarse al convertir una reserva OTA a directa por solicitud del cliente?,Cambiar canal sin registro,Política comercial: tarifa directa nunca inferior sin equivalencia de condiciones,Aplicar siempre tarifa OTA,Eliminar la reserva OTA sin más,B,Conversión requiere respetar condiciones y evitar dumping tarifario.,1
164,Recepción,Errores Comunes,Avanzado,¿Cuál es el control clave en reservas NR al final del día?,Verificar precio correcto,Asignar habitación fija,Enviar email recordatorio,Verificar cargos y evitar cancelaciones tardías sin cobro,D,NR debe verificarse y cobrarse para no asumir pérdidas.,1
165,Recepción,Errores Comunes,Avanzado,¿Qué hacer si channel cancela pero la reserva sigue activa en PMS?,Cancelar manualmente y documentar,Esperar 24h,Ninguna de las anteriores es correcta,Volver a cargar en PMS,A,Cancelación desincronizada debe igualarse y quedar documentada.,1
166,Recepción,Errores Comunes,Avanzado,¿Qué campo es obligatorio en bonos físicos?,Referencia exacta del bono,Código postal,Sólo nombre del cliente,Email de agencia,A,La referencia garantiza validación y evita fraude o rechazo de cobro.,1
167,Recepción,Errores Comunes,Avanzado,"En una reserva de grupo, ¿cuándo puede modificarse la distribución de habitaciones?",Cuando lleguen los clientes,Según rooming list confirmada o autorización escrita,Nunca,Cuando recepción lo estime,B,La rooming list y autorización formal garantizan control y facturación correcta.,1
168,Recepción,Errores Comunes,Avanzado,¿Qué se debe comprobar al registrar prepago manual?,Hora de creación de reserva,Nombre del recepcionista,Solo que exista movimiento bancario,"Concordancia de importe, referencia, fecha y titular",D,Control exhaustivo evita asignaciones erróneas o conflictos bancarios.,1
169,Recepción,Errores Comunes,Avanzado,Uso correcto del campo 'Cargos' en PMS con Keytel Spa:,Dejar vacío si tarifa incluye Spa,Usar códigos personalizados,Escribir SP junto a la referencia en tres puntos,Anotar nombre del cliente,C,SP identifica servicios Spa para que comisión se aplique correctamente.,1
170,Recepción,Errores Comunes,Avanzado,¿Qué hacer si el cliente presenta bono sin código válido?,Solicitar evidencia digital válida o rechazo según política,Crear código ficticio,Aceptar siempre,Cargar sin comprobación,A,Se requiere validación; sin código válido no procede.,1
171,Recepción,Errores Comunes,Avanzado,Control crítico de reservas con tarjeta rechazada:,Anular automáticamente,Cambiar a pago directo sin comunicación,Esperar al check‑in,Solicitar tarjeta válida y registrar intento,D,Debe exigirse tarjeta válida o prepago según política.,1
172,Recepción,Errores Comunes,Avanzado,¿Cómo debe actuar recepción cuando aparece el error “tarifa no aplicable al mercado”?,Reasignar la reserva a tarifa BAR,Escalar la incidencia a Revenue para revisar el mapeo,Eliminar la tarifa para evitar que vuelva a aparecer,Indicar al huésped que intente reservar de nuevo por otro canal,B,"El mensaje “tarifa no aplicable al mercado” indica un desajuste entre la tarifa y el mercado o canal de origen, normalmente por un error de mapeo o configuración. Estos casos requieren revisión por parte de revenue para confirmar la tarifa correcta, ajustar el canal inmediatamente para evitar reservas erróneas.",1
173,Recepción,Errores Comunes,Avanzado,¿Qué revisar al aplicar tarifa corporativa dinámica TravelPerk?,Eliminar comisión,Asignar canal directo,Paridad vs BAR y política: nunca inferior a Booking en mismas condiciones,Aplicar siempre 15%,C,Debe respetarse paridad y condiciones del acuerdo.,1
174,Recepción,Errores Comunes,Avanzado,¿Cuál es el riesgo de no registrar 'bono requerido' en reservas Bono Spa?,Sólo afecta estadísticas,Cliente espera upgrade,Desajuste contable y pérdida económica,No hay impacto real,C,"Sin registro correcto, hotel puede no cobrar bono.",1
175,Recepción,Errores Comunes,Avanzado,Acción si cliente dice 'agencia me dijo que estaba pagado' pero no hay prepago:,Esperar cierre,Aceptar,"Solicitar comprobante y llamar agencia; si no, cobrar en hotel",Asignar crédito automático,C,"Se verifica; sin prueba, el cobro se ejecuta en hotel.",1
176,Recepción,Errores Comunes,Avanzado,Al cambiar fechas en PMS manualmente:,Cliente asume diferencia,Channel reenvía disponibilidad igual,Puede romper vinculación y generar tarifa errónea o sobreventa,Afecta solo precio,C,Modificar fechas debe hacerse por canal para evitar errores.,1
177,Recepción,Errores Comunes,Avanzado,¿Qué revisar en reservas con niños en OTA?,"Reglas de ocupación, suplementos y edades configuradas",Nada especial,Cambiarlas a directa,Cobrar suplemento siempre,A,Control evitar cargos incorrectos o capacidad excedida.,1
178,Recepción,Errores Comunes,Avanzado,¿Cuándo generar cargo manual de Spa en PMS?,Siempre,"Nunca, se hace automático",Cuando cliente mira el Spa,Cuando tarifa no lo incluye y cliente consume Spa,D,Cargo procede solo si hay consumo no incluido.,1
179,Recepción,Errores Comunes,Avanzado,Reserva VIP canal Sercotel Rewards:,Eliminar puntos,Asignar upgrade sin registro,Seguir política: upgrade sujeto a disponibilidad y registro Rewards,Aplicar tarifa OTA,C,Beneficio condicionado a disponibilidad y registro.,1
180,Recepción,Errores Comunes,Avanzado,¿Qué debe revisarse al hacer downgrade de Suite a Doble?,"Nada, sistema lo corrige","Diferencia tarifaria, comunicación y confirmación del huésped",Sólo precio,Cancelar reserva,B,Cambio de categoría exige transparencia y ajuste correcto.,1
181,Recepción,Errores Comunes,Avanzado,Errores recurrentes 'no se encontró la reserva' suelen venir de:,Antivirus,Modificar localizador antes de tiempo,Wifi débil,Horas pico,B,Causa habitual: manipulación prematura del localizador.,1
182,Recepción,Errores Comunes,Avanzado,Control obligatorio últimas 48h grupos:,Asignar habitaciones,"Nada, ya está confirmado","Verificar rooming, pagos, bloqueos y condiciones de cancelación",Hacer check‑in anticipado,C,Últimas 48h son críticas para validar toda operativa.,1
183,Recepción,Errores Comunes,Avanzado,Si cliente solicita factura con CIF distinto al pagador:,Emitirla,Ninguna de las anteriores es correcta,Pedir correo del socio,Seguir normativa: facturar a quien paga salvo contrato/justificación,D,Fiscalmente la factura debe emitirse al pagador.,1
184,Recepción,Errores Comunes,Básico,Al detectar overbooking real:,Cerrar recepción,"Aplicar protocolo: recolocación, coste asumido, upgrade y comunicación transparente",Evitar comunicar al cliente,Cancelar reservas aleatoriamente,B,Overbooking exige solución operativa profesional.,1
185,Recepción,Errores Comunes,Básico,"En reservas Keytel con servicio de SPA, ¿qué abreviatura debe añadirse SIEMPRE en «Cargos» para que la comisión aplique?",HA,DE,SP,HD,C,"Las reservas con SPA deben llevar el código SP junto a los servicios de habitación/desayuno en «Cargos». Ejemplo: HA,DE,SP. Sin SP, el PMS no calcula bien la comisión y contabilidad tendrá discrepancias con Keytel.",1
186,Recepción,Errores Comunes,Básico,"Además de «Cargos», ¿dónde se consigna la comisión correcta en reservas Keytel con SPA?",Observaciones públicas,Menú de los «tres puntos (…)» de comisión,Localizador,Intermediario,B,"La comisión se introduce en el panel específico accesible desde los «tres puntos (…)». Debe reflejar los servicios incluidos (HA, DE, SP) para liquidar correctamente con Keytel.",1
187,Recepción,Errores Comunes,Básico,¿Qué elemento NO forma parte del control básico en el cierre de caja del turno?,Efectivo coincide,Ventas TPV físico coinciden,Ventas TPV virtual coinciden,Número de huéspedes alojados coincide,D,"El cierre comprueba importes (efectivo, TPV físicos/virtuales, vales y fondo). La ocupación es un control operativo, no una partida de caja.",1
188,Recepción,Errores Comunes,Básico,"En turno de noche, ¿qué se debe adjuntar al listado de cierre?",Solo el efectivo,Tickets de tarjetas y cargos a habitaciones de F&B,Listado de habitaciones bloqueadas,Parte de mantenimiento,B,"Se adjuntan los justificantes de TPV generados durante el turno y los cargos imputados a habitaciones de cafetería/restaurante, además del efectivo, para trazabilidad.",1
189,Recepción,Errores Comunes,Básico,¿Cuándo puede modificarse manualmente el localizador de una reserva de Smartbox/ECI/GDS?,En cualquier momento,Nunca,Solo la noche anterior a la llegada,Tras el check-in,C,"Modificar antes rompe el vínculo PMS–channel y provoca errores como «No se encontró la reserva». Se ajusta en la revisión nocturna previa a la llegada, si es necesario.",1
190,Recepción,Errores Comunes,Básico,"Pago con BONO (Keytel, Smartbox, etc.). ¿Qué garantía corresponde SIEMPRE?",Tarjeta de crédito,Flexible (7 días),Bono requerido,No reembolsable 100%,C,"Cuando el pago es mediante bono (físico o digital), la garantía correcta es BONO REQUERIDO independientemente del plan de tarifa.",1
191,Recepción,Errores Comunes,Básico,"Para tarifa EBI (Early Booking) con pago directo del cliente, la garantía correcta es:",Tarjeta de crédito,Flexible (7 días),Bono requerido,No reembolsable 100%,B,EBI con pago directo implica cancelación sin gastos hasta 7 días antes; por eso la garantía es Flexible 7D.,1
192,Recepción,Errores Comunes,Básico,"Para tarifa NRF (No Reembolsable) con pago directo del cliente, la garantía correcta es:",No reembolsable 100%,Tarjeta de crédito,Flexible (7 días),Bono requerido,A,"La política NR implica penalización total y cobro/depósito inmediato, de ahí la garantía NR 100%.",1
193,Recepción,Errores Comunes,Básico,Marcar «SPA» manualmente en la celda del parte de servicios…,Distribuye los precios automáticamente,Solo lo muestra en el parte pero no distribuye precios,Cambia el régimen a MP,Anula cargos del día siguiente,B,El marcado manual es informativo para partes; para distribución real de producción debe cargarse el servicio en el día que corresponde.,1
194,Recepción,Errores Comunes,Básico,"Carga correcta si el SPA solo aplica el segundo día (27 HD, 28 HD+SPA, 29 HD):","HD, HD+SPA, HD","HD+SPA, HD, HD","HD, HD, SPA",HD todo y marcar SPA a mano,A,Cada día debe reflejar los servicios reales. Así el PMS distribuye ingresos y estadísticas sin desajustes.,1
195,Recepción,Errores Comunes,Básico,"En reservas con Bonos Cumbria Bienestar, el nº de bono debe ponerse en:",Observaciones,Ref.,Localizador,Campo Agencia,B,"El campo correcto para el número de bono es «Ref.». Observaciones se reserva para info relevante de estancia (alergias, peticiones…).",1
196,Recepción,Errores Comunes,Básico,"Reserva para 3 personas: para preservar Triples en venta online, la tipología correcta es:",DOB,SUP (doble con supletoria),SGL,JUN,B,Se asigna SUP para no consumir stock de Triples salvo necesidad; así se mantiene la disponibilidad online.,1
197,Recepción,Errores Comunes,Básico,"En la campaña «Escapada Joven», ¿qué error crítico debes evitar?",No imprimir el parte,Dejar Agencia en «Sin agencia» y no registrar el bono,Añadir tarifa BAR,No cargar desayuno,B,Debe vincularse a la Agencia correcta y registrar el número de bono para auditar la campaña y facturar correctamente.,1
198,Recep-Cumbria,Errores Comunes,Básico,¿Qué acredita marcar una reserva como «VISTA» en RoomCloud?,Pago confirmado,Revisión y validación realizada,Cancelación programada,Check-in completado,B,"«VISTA» sirve de sello de control: deja constancia de que alguien revisó tarifa, régimen, agencia, garantía, ocupación, etc.",1
199,Recepción,Errores Comunes,Básico,Una EBI con llegada en menos de 7 días y sin garantía flexible se debe:,Tratar como NR y cobrar de inmediato,Mantener sin garantía,Cambiar a BAR,Eliminar,A,Bajo el umbral de 7 días la flexibilidad se agota; se aplica criterio de no reembolsable para cubrir el riesgo.,1
200,Recepción,Errores Comunes,Básico,¿Cuándo se cambia el segmento a «Grupo confirmado»?,Al crear la reserva,Cuando hay depósito pagado o rooming list recibida,Al llegar el primer huésped,Con aprobación verbal,B,Regla única. Evita dejar TATEO una vez confirmado para no distorsionar informes y comunicación con central.,1
201,Recepción,Errores Comunes,Básico,"Si Observaciones dicen «MERCADONA PAGO BONO», ¿cómo debe quedar Empresa/Agencia?",Empresa: Particular · Agencia: Sin agencia,"Empresa: MERCADONA · Agencia: la que corresponda (p. ej., Ávoris)",Empresa: MERCADONA · Agencia: Sin agencia,Empresa: Particular · Agencia: Ávoris,B,"Es una reserva corporativa pagada vía bono. Debe registrarse la empresa y, si aplica, la agencia intermediaria para facturación y KPIs.",1
202,Recepción,Errores Comunes,Básico,"En Viajes El Corte Inglés (VECI), la comisión correcta es:",Siempre 15%,Siempre 18%,"15% si el rate code incluye PYME; si no, 18%",10% si es BAR,C,"Regla de oro: PYME indica tarifa negociada (15%); si no aparece, se considera pública (18%). Registrar en la ficha y dejar trazabilidad.",1
203,Recepción,Errores Comunes,Básico,"Para evitar fallos al generar el XML, con menores de edad se debe:",Omitir fecha de nacimiento,"Completar nombre, apellidos y fecha de nacimiento antes de marcar «<18»",Marcar <18 sin datos,Enviar sin validar,B,Los campos de menores son obligatorios. Validar y corregir entradas evita bloqueos y pérdidas de tiempo al recuperar check-outs.,1
204,Recepción,Errores Comunes,Básico,"Pago con BONO (Keytel, Smartbox, etc.): ¿qué garantía debe indicarse siempre en el PMS?",Tarjeta de crédito,Flexible (7 días),Bono requerido,No reembolsable 100%,C,"Si el pago se hace mediante un bono (físico o digital), la garantía correcta es BONO REQUERIDO, independientemente de la tarifa. Evita rechazos de facturación y reprocesos.",1
205,Recepción,Errores Comunes,Intermedio,Tarifa EBI con pago directo del cliente: ¿qué garantía corresponde?,Tarjeta de crédito,Flexible (7 días),Bono requerido,No reembolsable 100%,B,"La EBI admite cancelación sin gastos hasta 7 días, por eso su garantía es Flexible 7D. Si la llegada es en <7 días, evaluar como NR por riesgo.",1
206,Recepción,Errores Comunes,Intermedio,Tarifa NRF con pago directo del cliente: ¿qué garantía es correcta?,No reembolsable 100%,Tarjeta de crédito,Flexible (7 días),Bono requerido,A,La NR implica penalización total en caso de cancelación. Debe quedar reflejado para permitir cargos/depositar sin incidencias.,1
207,Recepción,Errores Comunes,Avanzado,"En reservas VECI: si el rate code incluye 'PYME', la comisión correcta es…",10%,12%,15%,18%,C,"Regla de oro: si el rate code contiene PYME es tarifa negociada (15%); si no aparece PYME, aplicar 18% (pública). Anótalo en PMS y deja trazabilidad.",1
208,Recepción,Errores Comunes,Básico,Smartbox/ECI/GDS: ¿cuándo puede modificarse manualmente el localizador en PMS?,Nunca,En cualquier momento,Solo la noche anterior a la llegada,Tras el check-in,C,"Cambiarlo antes rompe la vinculación PMS–channel y genera errores (p. ej. 'No se encontró la reserva'). Si hay que ajustarlo, se hace la noche previa a la llegada.",1
209,Recepción,Errores Comunes,Intermedio,Bonos Cumbria Bienestar: ¿en qué campo debe introducirse el número de bono?,Observaciones,Ref.,Localizador,Agencia,B,"El número de bono va en el campo Ref. Observaciones se reserva para información relevante de la estancia (alergias, peticiones).",1
210,Recepción,Errores Comunes,Avanzado,XML con menores: ¿qué requisito evita bloqueos en la generación/envío?,Marcar <18 sin datos,Omitir fecha de nacimiento,"Completar nombre, apellidos y fecha de nacimiento antes de marcar <18",Enviar sin validar,C,Los datos de menores son obligatorios. Sin ellos el XML falla y obliga a reprocesar y recuperar check-outs manualmente.,1
211,Recepción,Errores Comunes,Intermedio,Diferencia operativa clave: pago directo del cliente vs. pago mediante bono es…,El canal,El tipo de habitación,La garantía que se debe fijar en PMS,Nada cambia,C,"Con bono: garantía BONO REQUERIDO. Con pago directo: depende de la tarifa (BAR/EBI/NRF). Esta elección determina cobros, depósitos y conciliaciones.",1
212,Recepción,Errores Comunes,Básico,Cierre de caja: ¿qué elemento NO forma parte del control básico?,Efectivo coincide,Ventas TPV físico coinciden,Ventas TPV virtual coinciden,Número de huéspedes alojados coincide,D,"El cierre verifica importes (efectivo, TPV, vales, fondo). La ocupación se controla aparte; mezclar métricas distorsiona el cierre.",1
213,Recepción,Errores Comunes,Básico,Turno de noche: ¿qué debes adjuntar al listado de cierre?,Únicamente el efectivo,Tickets de TPV y cargos F&B a habitaciones,Solo el parte de limpieza,Parte de mantenimiento,B,Los justificantes TPV y los cargos imputados a habitaciones aseguran trazabilidad y evitan descuadres en auditoría.,1
214,Recepción,Errores Comunes,Intermedio,Todo descuadre de caja debe…,Ignorarse si es pequeño,Compensarse en el siguiente turno,Documentarse por escrito con motivo en la hoja del turno,Ajustarse a caja chica sin anotarlo,C,"La documentación del descuadre mantiene trazabilidad y soporta auditorías. Sin registro, se pierde control y se repiten errores.",1
215,Recepción,Errores Comunes,Intermedio,Marcar una reserva como 'VISTA' en RoomCloud significa…,Pago confirmado,Revisión y validación realizada,Cancelación automática,Check-in completado,B,"'VISTA' deja constancia de que la reserva ha sido revisada: tarifa, régimen, ocupación, agencia, garantía, estado de pago, etc.",1
216,Recepción,Errores Comunes,Intermedio,Flujo por turnos: antes de las 21:00 en turno de tarde debes…,"Revisar todas las llegadas restantes, confirmar prepagos/tarjetas y cargar depósitos si procede",Cerrar el día sin revisar,Solo imprimir listados,Cambiar todas las tarifas a NR,A,Reduce no-shows impagados y asegura que las llegadas están garantizadas. Evita sorpresas al cierre.,1
217,Recepción,Errores Comunes,Avanzado,"Cuando una reserva aparece cancelada en channel pero activa en PMS, el paso correcto es…",Dejarla como está,Anularla manualmente en PMS y dejar observación,Cerrar el día y avisar al día siguiente,Cambiar el canal a 'Directo',B,El channel es la fuente de verdad de las integraciones. Hay que igualar estados y dejar trazabilidad para auditoría.,1
218,Recepción,Errores Comunes,Básico,Marcar 'SPA' manualmente en la celda del parte…,Distribuye precios automáticamente,Solo lo muestra en el parte pero no distribuye precios,Cambia la tarifa a MP,Anula cargos del día siguiente,B,"El marcado manual es informativo. Para distribuir producción y precios, hay que cargar el servicio en el día correspondiente.",0
219,Recepción,Errores Comunes,Intermedio,"Cargar una estancia donde el SPA solo aplica el segundo día (27 HD, 28 HD+SPA, 29 HD) es…","HD, HD+SPA, HD","HD+SPA, HD, HD","HD, HD, SPA",HD todo y marcar SPA a mano,A,Cada día debe reflejar los servicios reales para que el PMS distribuya ingresos y estadísticas correctamente.,1
220,Recepción,Errores Comunes,Intermedio,Si una reserva incluye SPA y no se indica 'SP' en Cargos…,No pasa nada,Se muestra igual en contabilidad,La comisión no se aplica bien y genera ajustes posteriores,Aumenta automáticamente el ADR,C,Sin el código SP el cálculo de comisión/producción se desajusta y contabilidad debe corregir manualmente.,1
221,Recepción,Errores Comunes,Avanzado,"Además de 'Cargos', la comisión correcta de Keytel con SPA debe consignarse en…",Observaciones públicas,Localizador,Menú de los 'tres puntos (…)',Intermediario,C,"El apartado de los 'tres puntos (…)’ es el panel oficial para introducir el porcentaje de comisión según servicios (HA, DE, SP).",1
222,Recepción,Errores Comunes,Básico,Campaña 'Escapada Joven': error crítico a evitar,No imprimir el parte,Dejar 'Sin agencia' y no registrar el bono,Añadir desayuno sin coste,Asignar siempre SUP,B,"Debe vincularse a la agencia correcta y registrar el número de bono. Si no, la campaña no se audita ni factura bien.",1
223,Recepción,Errores Comunes,Intermedio,¿Cuándo se cambia el segmento a 'Grupo confirmado'?,Al crear la reserva,Con depósito pagado o rooming list recibida,Al llegar el primer huésped,Con aprobación verbal,B,Regla única: depósito o rooming list. Nunca dejar TATEO tras confirmación; afecta informes y coordinación.,1
224,Recepción,Errores Comunes,Básico,"¿En qué momento puede modificarse el número de bono Smartbox en el PMS, conforme al procedimiento interno?","En cualquier momento, ya que el sistema actualiza automáticamente el código en la plataforma Smartbox.","En el mismo instante de crear la reserva, antes incluso de que el bono quede vinculado al cliente","A la llegada del cliente, coincidiendo con el registro y la verificación presencial del servicio contratado.","Únicamente la noche anterior a la llegada, momento en el que el sistema permite validar y sincronizar el bono sin generar inconsistencias.",D,"Los bonos Smartbox se validan automáticamente con la plataforma. Por este motivo, solo pueden modificarse la noche anterior a la llegada: realizar cambios antes o después genera errores en el pre-check, en la conciliación y en la trazabilidad del bono dentro del canal.",1
225,Recepción,Errores Comunes,Intermedio,"Cuando el cliente informa de un cambio de bono/fecha en Smartbox, lo correcto es…",Modificar inmediatamente el localizador,Esperar la actualización automática y registrar nota interna,Borrar el canal,Cambiar la agencia a Directo,B,Cualquier cambio prematuro del localizador rompe la integración. Registrar nota y esperar el update automático.,1
226,Recepción,Errores Comunes,Intermedio,Caso: Observaciones dicen 'MERCADONA PAGO BONO'. ¿Cómo debe quedar Empresa/Agencia?,Empresa: Particular · Agencia: Sin agencia,"Empresa: MERCADONA · Agencia: la que corresponda (p. ej., Ávoris)",Empresa: MERCADONA · Agencia: Sin agencia,Empresa: Particular · Agencia: Ávoris,B,"Reserva corporativa pagada vía bono; hay que reflejar la empresa y, si aplica, la agencia intermediaria para facturación y KPIs.",1
227,Recepción,Errores Comunes,Avanzado,Caso: Reserva Keytel con SPA sin 'SP' en Cargos. ¿Qué ocurre?,"Nada, el sistema lo interpreta",La comisión queda mal aplicada y requiere ajuste contable,Se cancela automáticamente,Sube el precio de la habitación,B,"Sin SP el cálculo de comisión falla. Hay que subsanar y ajustar; para evitarlo, usar HA,DE,SP en Cargos y registrar en 'tres puntos (…)’.",1
228,Recepción,Errores Comunes,Intermedio,Caso: EBI sin garantía y llegada en 48h. Para cubrir riesgo debes…,Mantenerla sin garantía,Tratarla como NR y cobrar/garantizar de inmediato,Cambiar a BAR,Eliminar la reserva,B,Entrada <7 días sin garantía es riesgo alto. Se trata como NR: garantizar/cobrar para evitar pérdidas por cancelación.,1
229,Recepción,Errores Comunes,Avanzado,Caso: Falla el XML porque hay menores sin datos completos. La acción correcta es…,Reenviar varias veces,Marcar <18 y dejar en blanco,"Completar nombre, apellidos y fecha de nacimiento y volver a validar",Ignorar y continuar,C,"Los menores requieren datos completos. Sin ellos, el XML falla y se pierde tiempo en reprocesos. Completar, validar y enviar.",1
230,Recepción,Supervisión de Ocupación (Inventory),Básico,¿Qué representa la columna blanca del Inventory?,La disponibilidad real del día,Los ajustes manuales por tipología y día,Las habitaciones ocupadas,Las cancelaciones del día,B,La columna blanca muestra ajustes manuales por tipología y día. Un valor positivo resta disponibilidad y uno negativo la suma. No debe modificarse directamente.,1
231,Recepción,Supervisión de Ocupación (Inventory),Básico,¿Qué efecto produce un valor positivo en la columna blanca del Inventory?,Aumenta la disponibilidad,Resta disponibilidad (bloquea habitaciones),No tiene efecto,Elimina reservas antiguas,B,Los positivos en columna blanca restan disponibilidad; deben compensarse con un negativo equivalente si se ajusta manualmente.,1
232,Recepción,Supervisión de Ocupación (Inventory),Intermedio,¿Qué indica un valor negativo en la columna blanca del Inventory?,Sobreocupación,Disponibilidad añadida manualmente,Error de cálculo,Cancelación pendiente,B,"Un negativo suma disponibilidad manualmente; si existe, debe haber un positivo compensatorio. Si no, hay error en el cuadrado de tipología.",1
233,Recepción,Supervisión de Ocupación (Inventory),Intermedio,¿Cuál es la acción correcta si ves un desajuste en la columna blanca del Inventory?,Corregir directamente el valor blanco,Eliminar todas las líneas del día,Buscar y corregir la reserva que origina el conflicto,Cambiar las tarifas afectadas,C,"Nunca se corrige el Inventory directamente. Se revisa la reserva que provoca el error y se reubica desde allí, manteniendo integridad de datos.",1
234,Recepción,Supervisión de Ocupación (Inventory),Básico,¿Qué muestran los bloques superior e inferior en la pestaña Ocupación → Disponibilidad?,Ventas y cancelaciones,Disponibilidad (arriba) y ocupación (abajo),Tarifas y restricciones,Códigos de agencia,B,La parte superior (verde/blanca) refleja disponibilidad por tipología/día. La inferior (blanca/salmón) muestra ocupadas y % de ocupación.,1
235,Recepción,Supervisión de Ocupación (Inventory),Básico,"Si la disponibilidad aparece en negativo en Ocupación → Disponibilidad, significa…",Error del PMS,Sobreocupación: hay más habitaciones vendidas que disponibles,El hotel está vacío,Hay un ajuste manual en cero,B,Un número negativo en disponibilidad indica sobreocupación. Debe corregirse reubicando reservas y nunca alterando Inventory.,1
236,Recepción,Supervisión de Ocupación (Inventory),Intermedio,"Cuando aparece un negativo en el Planning de Ocupación, ¿qué debes hacer para corregirlo según el procedimiento 8.2?",Ajustar manualmente la columna blanca del Inventory hasta que desaparezca el negativo,Cambiar la tarifa BAR del día para que el PMS recalcule la disponibilidad,Ignorar el negativo si el porcentaje de ocupación global es inferior al 90 %,"Abrir el listado pulsando la celda del bloque Ocupadas, reubicar la reserva necesaria cambiando su tipología y registrar siempre en Observaciones “Cuadre orig: [tipología original] → cambio manual”.",D,Un negativo indica que se han vendido más habitaciones de las disponibles (sobreocupación). La corrección debe hacerse desde la reserva responsable: reubicarla a otra tipología disponible y dejar traza en Observaciones usando el formato obligatorio “Cuadre orig: …” para mantener la trazabilidad operativa,1
237,Recepción,Supervisión de Ocupación (Inventory),Intermedio,¿Dónde debe realizarse la corrección de sobreocupación?,En el módulo Inventory,Desde la reserva que la genera,En la ficha de tarifas,En Channel Manager,B,"Las correcciones se hacen desde la reserva causante. Se cambia la tipología manteniendo el precio, sin tocar directamente Inventory.",1
238,Recepción,Supervisión de Ocupación (Inventory),Avanzado,"Antes de modificar la tipología de una reserva, debes…",Cambiar directamente y guardar,Apuntar número de personas y precio/día originales,Eliminar la reserva y volver a crearla,Actualizar el canal,B,"Antes de cualquier cambio, anota nº de personas y precio por día para confirmar después que no varía. Evita desajustes de facturación o régimen.",1
